Battleground,Code,Faction,Class,KB,D,HK,DD,HD,Honor,Win,Lose,Rol,BE
WG,WG2,Horde,Warlock,1,2,19,22769,8918,140,,1,dps,
WG,WG2,Horde,Paladin,0,2,20,14602,6576,143,,1,dps,
WG,WG3,Alliance,Rogue,2,1,28,26266,11364,564,1,,dps,
WG,WG3,Alliance,Paladin,0,0,22,3350,11153,548,1,,heal,
WG,WG3,Alliance,Priest,5,0,30,49500,14576,566,1,,dps,
WG,WG3,Alliance,Druid,0,2,26,23312,12816,781,1,,dps,
WG,WG3,Horde,Paladin,1,4,8,36211,11686,131,,1,dps,
WG,WG3,Alliance,Hunter,8,0,32,89565,4557,575,1,,dps,
WG,WG3,Horde,Druid,1,4,11,28304,9181,141,,1,dps,
WG,WG3,Horde,Shaman,0,6,8,4663,75063,134,,1,heal,
WG,WG3,Alliance,Shaman,7,2,29,70816,7654,789,1,,dps,
WG,WG3,Horde,Druid,3,3,10,55534,11397,136,,1,dps,
WG,WG3,Alliance,Hunter,3,1,30,45806,4899,791,1,,dps,
WG,WG3,Horde,Priest,0,2,5,36350,12216,31,,1,dps,
WG,WG3,Alliance,Priest,0,1,26,20105,157000,553,1,,heal,
WG,WG3,Horde,Rogue,0,2,7,2978,2468,132,,1,dps,
WG,WG3,Alliance,Demon Hunter,5,1,20,24629,6500,476,1,,dps,
WG,WG3,Alliance,Hunter,2,4,22,28534,6625,320,1,,dps,
WG,WG3,Horde,Demon Hunter,1,2,9,19531,2151,134,,1,dps,
WG,WG3,Horde,Mage,1,3,11,76381,18538,139,,1,dps,
WG,WG3,Horde,Demon Hunter,5,6,11,34667,5249,134,,1,dps,
WG,WG4,Horde,Rogue,0,1,11,17990,3102,482,,1,dps,1
WG,WG4,Horde,Warlock,0,0,6,19587,0,321,,1,dps,1
WG,WG4,Alliance,Mage,0,2,11,29693,7320,1165,1,,dps,1
WG,WG4,Horde,Warlock,0,0,9,16048,4390,327,,1,dps,1
WG,WG4,Alliance,Demon Hunter,2,1,13,14954,437,1171,1,,dps,1
WG,WG4,Horde,Monk,2,2,11,34637,14788,482,,1,dps,1
WG,WG4,Horde,Shaman,0,2,11,2329,27087,482,,1,heal,1
WG,WG4,Alliance,Monk,0,0,11,4040,9774,1165,1,,heal,1
WG,WG4,Alliance,Demon Hunter,0,1,13,8231,1217,1170,1,,dps,1
WG,WG4,Horde,Priest,2,4,9,39208,9909,477,,1,dps,1
WG,WG4,Horde,Warrior,2,0,12,7322,4468,484,,1,dps,1
WG,WG4,Alliance,Priest,0,0,14,1672,38396,949,1,,heal,1
WG,WG4,Horde,Priest,3,1,10,22400,48896,479,,1,heal,1
WG,WG4,Alliance,Monk,0,0,13,1407,65726,945,1,,heal,1
WG,WG4,Horde,Warrior,1,3,8,27640,1895,325,,1,dps,1
WG,WG4,Alliance,Warrior,4,3,12,64745,8430,1169,1,,dps,1
WG,WG4,Alliance,Hunter,1,3,14,34593,5221,1174,1,,dps,1
WG,WG4,Alliance,Rogue,1,2,12,16745,2911,943,1,,dps,1
WG,WG4,Horde,Mage,1,1,12,37040,5407,484,,1,dps,1
WG,WG4,Alliance,Warrior,6,0,13,19212,3305,945,1,,dps,1
WG,WG5,Horde,Monk,1,0,59,6063,146000,284,,1,heal,
WG,WG5,Horde,Warlock,8,2,54,75901,47521,274,,1,dps,
WG,WG5,Horde,Hunter,10,2,54,78845,10194,274,,1,dps,
WG,WG5,Horde,Demon Hunter,12,2,49,60895,15742,264,,1,dps,
WG,WG5,Alliance,Warrior,3,7,12,75773,20505,518,1,,dps,
WG,WG5,Alliance,Rogue,1,0,15,12761,0,526,1,,dps,
WG,WG5,Alliance,Demon Hunter,5,6,14,88087,12498,540,1,,dps,
WG,WG5,Alliance,Paladin,1,10,9,104000,20599,729,1,,dps,
WG,WG5,Alliance,Paladin,0,5,13,10888,74533,522,1,,heal,
WG,WG5,Alliance,Rogue,0,11,11,63549,9418,740,1,,dps,
WG,WG5,Alliance,Shaman,2,9,6,38201,6893,495,1,,dps,
WG,WG5,Horde,Shaman,1,0,56,11054,121000,279,,1,heal,
WG,WG5,Alliance,Mage,6,5,14,87887,14766,749,1,,dps,
WG,WG5,Alliance,Druid,1,3,15,5682,92506,527,1,,heal,
WG,WG5,Alliance,Rogue,0,5,10,31868,6608,645,1,,dps,
WG,WG5,Horde,Rogue,2,2,46,29559,8989,257,,1,dps,
WG,WG5,Horde,Priest,11,1,57,71710,21055,279,,1,dps,
WG,WG5,Horde,Hunter,4,4,54,88291,5246,274,,1,dps,
WG,WG5,Horde,Monk,4,3,46,60531,23938,257,,1,dps,
WG,WG5,Horde,Warlock,9,3,48,123000,49540,262,,1,dps,
WG,WG6,Horde,Hunter,9,1,54,68673,5739,410,1,,dps,
WG,WG6,Horde,Demon Hunter,7,1,46,87551,12790,543,1,,dps,
WG,WG6,Horde,Priest,10,1,54,85402,18659,411,1,,dps,
WG,WG6,Horde,Shaman,0,3,39,13931,119000,380,1,,heal,
WG,WG6,Alliance,Warlock,0,8,6,31645,15603,233,,1,dps,
WG,WG6,Alliance,Shaman,1,4,10,34909,12436,250,,1,dps,
WG,WG6,Horde,Warrior,7,1,51,56001,9835,551,1,,dps,
WG,WG6,Horde,Mage,11,0,54,93717,11342,410,1,,dps,
WG,WG6,Horde,Druid,4,1,45,30419,22437,392,1,,dps,
WG,WG6,Alliance,Shaman,0,2,0,3698,3062,127,,1,dps,
WG,WG6,Alliance,Priest,2,5,11,30150,120000,252,,1,heal,
WG,WG6,Alliance,Death Knight,1,9,7,44809,18137,236,,1,dps,
WG,WG6,Horde,Monk,0,0,44,4905,89605,389,1,,heal,
WG,WG6,Alliance,Priest,0,7,5,14511,54760,230,,1,heal,
WG,WG6,Alliance,Rogue,0,4,10,55325,9529,249,,1,dps,
WG,WG6,Alliance,Hunter,1,7,6,35374,2135,233,,1,dps,
WG,WG6,Horde,Paladin,4,2,39,59674,14379,530,1,,dps,
WG,WG6,Alliance,Mage,6,5,12,50020,17422,258,,1,dps,
WG,WG6,Horde,Rogue,6,3,43,70482,7562,388,1,,dps,
WG,WG7,Alliance,Priest,0,2,6,3303,52540,259,,1,heal,1
WG,WG7,Alliance,Paladin,0,4,12,14952,6364,278,,1,dps,1
WG,WG7,Alliance,Shaman,0,3,18,3565,5069,299,,1,heal,1
WG,WG7,Alliance,Druid,1,2,18,9863,76747,299,,1,heal,1
WG,WG7,Horde,Warlock,5,4,24,62078,21283,457,1,,dps,1
WG,WG7,Horde,Shaman,1,1,26,7517,68328,686,1,,heal,1
WG,WG7,Alliance,Warrior,3,5,13,47698,4576,281,,1,dps,1
WG,WG7,Horde,Hunter,6,1,26,55058,9665,461,1,,dps,1
WG,WG7,Horde,Demon Hunter,2,0,12,12427,10330,660,1,,dps,1
WG,WG7,Alliance,Mage,2,3,16,51887,10090,290,,1,dps,1
WG,WG7,Horde,Priest,0,0,13,3095,46782,437,1,,heal,1
WG,WG7,Alliance,Hunter,0,1,6,26121,0,262,,1,dps,1
WG,WG7,Horde,Warrior,4,1,23,30117,1747,455,1,,dps,1
WG,WG7,Alliance,Priest,4,0,16,79295,17671,290,,1,dps,1
WG,WG7,Horde,Shaman,1,4,25,26991,6369,459,1,,dps,1
WG,WG7,Horde,Priest,3,3,26,66074,16938,459,1,,dps,1
WG,WG7,Horde,Rogue,2,2,15,35002,2655,666,1,,dps,1
WG,WG7,Alliance,Warlock,7,4,17,76383,30058,293,,1,dps,1
WG,WG7,Horde,Warlock,2,2,26,69414,32434,461,1,,dps,1
WG,WG7,Alliance,Priest,0,2,14,5967,33584,283,,1,heal,1
WG,WG8,Horde,Demon Hunter,1,2,11,36661,24957,652,1,,dps,1
WG,WG8,Alliance,Warrior,4,2,14,51033,5913,338,,1,dps,1
WG,WG8,Alliance,Druid,0,6,4,41339,2763,299,,1,dps,1
WG,WG8,Horde,Priest,0,0,10,5543,44516,418,1,,heal,1
WG,WG8,Horde,Druid,3,0,18,46056,10488,670,1,,dps,1
WG,WG8,Alliance,Mage,0,3,12,29346,5065,329,,1,dps,1
WG,WG8,Alliance,Warlock,3,2,11,110000,19493,323,,1,dps,1
WG,WG8,Horde,Death Knight,1,5,17,44465,20298,668,1,,dps,1
WG,WG8,Horde,Shaman,2,2,20,14838,81762,671,1,,heal,1
WG,WG8,Alliance,Monk,0,0,12,13460,79489,332,,1,heal,1
WG,WG8,Horde,Mage,7,2,20,74679,11349,671,1,,dps,1
WG,WG8,Horde,Druid,0,1,17,5272,69559,667,1,,heal,1
WG,WG8,Alliance,Mage,1,1,11,39616,11059,323,,1,dps,1
WG,WG8,Alliance,Hunter,4,2,12,63412,4181,326,,1,dps,1
WG,WG8,Alliance,Paladin,1,3,8,47194,16757,314,,1,dps,1
WG,WG8,Horde,Druid,0,1,12,21719,24253,429,1,,heal,1
WG,WG8,Alliance,Priest,1,1,13,30487,50333,332,,1,heal,1
WG,WG8,Alliance,Warrior,1,3,4,16274,36748,304,,1,dps,1
WG,WG8,Horde,Death Knight,7,0,18,49866,45850,444,1,,dps,1
WG,WG8,Horde,Death Knight,1,1,15,44877,46855,439,1,,dps,1
WG,WG9,Horde,Priest,7,0,26,50293,3258,505,1,,dps,
WG,WG9,Horde,Druid,0,0,15,22464,3277,487,1,,dps,
WG,WG9,Alliance,Priest,0,1,4,6069,47212,156,,1,heal,
WG,WG9,Horde,Warrior,4,1,25,18305,5869,507,1,,dps,
WG,WG9,Alliance,Mage,0,5,2,19958,10411,149,,1,dps,
WG,WG9,Horde,Paladin,2,0,26,30930,2752,509,1,,dps,
WG,WG9,Horde,Death Knight,3,1,23,44733,9903,503,1,,dps,
WG,WG9,Horde,Shaman,1,0,26,9903,46222,509,1,,heal,
WG,WG9,Alliance,Mage,0,0,2,11558,2538,149,,1,dps,
WG,WG9,Horde,Rogue,4,0,25,33904,1517,507,1,,dps,
WG,WG9,Alliance,Death Knight,2,3,4,31903,8838,161,,1,dps,
WG,WG9,Alliance,Warrior,0,3,2,10869,164,151,,1,dps,
WG,WG9,Horde,Shaman,0,0,24,2586,13680,505,1,,heal,
WG,WG9,Horde,Rogue,0,3,17,31081,8095,491,1,,dps,
WG,WG9,Horde,Shaman,1,1,21,19440,165,499,1,,dps,
WG,WG9,Alliance,Death Knight,2,2,4,23606,15150,163,,1,dps,
WG,WG9,Alliance,Warrior,2,4,3,24925,5477,152,,1,dps,
WG,WG9,Alliance,Monk,0,4,4,520,27241,156,,1,heal,
WG,WG10,Alliance,Death Knight,4,3,29,104000,17438,588,1,,dps,
WG,WG10,Alliance,Rogue,4,1,26,36320,9261,578,1,,dps,
WG,WG10,Alliance,Priest,2,5,25,12103,68259,795,1,,heal,
WG,WG10,Horde,Rogue,0,2,23,13909,9234,166,,1,dps,
WG,WG10,Alliance,Priest,7,4,28,73185,22188,570,1,,dps,
WG,WG10,Horde,Monk,6,3,27,68056,27223,174,,1,dps,
WG,WG10,Horde,Shaman,1,4,23,10614,119000,165,,1,heal,
WG,WG10,Alliance,Shaman,6,5,30,93721,12013,813,1,,dps,
WG,WG10,Alliance,Mage,1,3,30,49899,10739,591,1,,dps,
WG,WG10,Alliance,Death Knight,1,0,18,12952,7036,782,1,,dps,
WG,WG10,Horde,Warrior,5,3,23,55932,17877,166,,1,dps,
WG,WG10,Horde,Shaman,5,3,26,70027,5397,171,,1,dps,
WG,WG10,Horde,Priest,0,3,26,272,79726,172,,1,heal,
WG,WG10,Horde,Hunter,4,4,23,83092,9739,165,,1,dps,
WG,WG10,Horde,Warrior,0,1,10,8670,161,124,,1,dps,
WG,WG10,Horde,Warrior,1,0,10,12331,9887,114,,1,dps,
WG,WG10,Horde,Shaman,0,2,10,0,34461,124,,1,heal,
WG,WG10,Alliance,Death Knight,6,1,27,72057,15091,577,1,,dps,
WG,WG10,Alliance,Warlock,2,3,29,44982,23095,254,1,,dps,
WG,WG10,Alliance,Priest,0,2,28,3011,60718,583,1,,heal,
WG,WG11,Horde,Hunter,0,9,7,12690,3914,199,,1,dps,
WG,WG11,Horde,Hunter,1,6,9,24268,4855,202,,1,dps,
WG,WG11,Alliance,Druid,0,0,45,4719,39014,550,1,,heal,
WG,WG11,Alliance,Warlock,9,1,46,65209,24585,555,1,,dps,
WG,WG11,Horde,Death Knight,0,5,9,32829,5580,202,,1,dps,
WG,WG11,Alliance,Hunter,4,2,45,19330,2813,550,1,,dps,
WG,WG11,Horde,Rogue,2,5,12,29343,3125,137,,1,dps,
WG,WG11,Horde,Druid,0,2,7,2637,27010,198,,1,heal,
WG,WG11,Horde,Shaman,0,8,10,4867,53987,206,,1,heal,
WG,WG11,Alliance,Shaman,4,1,41,36457,17876,543,1,,dps,
WG,WG11,Horde,Mage,1,5,11,25866,9945,133,,1,dps,
WG,WG11,Horde,Warlock,1,9,8,29725,24875,200,,1,dps,
WG,WG11,Alliance,Warlock,9,2,44,40436,14150,400,1,,dps,
WG,WG11,Horde,Mage,3,4,12,23596,5084,211,,1,dps,
WG,WG11,Alliance,Druid,0,1,25,839,20727,493,1,,heal,
WG,WG11,Alliance,Monk,9,2,48,42353,39026,408,1,,dps,
WG,WG11,Alliance,Rogue,2,0,39,26556,4351,388,1,,dps,
WG,WG11,Alliance,Druid,15,3,48,82954,4568,557,1,,dps,
WG,WG11,Alliance,Paladin,2,0,44,1385,30214,899,1,,heal,
WG,WG11,Horde,Druid,5,3,10,40427,11455,208,,1,dps,
WG,WG12,Alliance,Shaman,6,7,10,31303,3313,143,,1,dps,
WG,WG12,Alliance,Priest,0,5,12,4802,15801,147,,1,heal,
WG,WG12,Alliance,Rogue,1,5,10,11574,8768,151,,1,dps,
WG,WG12,Horde,Mage,5,2,40,25577,3771,405,1,,dps,
WG,WG12,Horde,Death Knight,10,2,46,30203,11833,413,1,,dps,
WG,WG12,Horde,Warrior,6,2,37,28421,6228,403,1,,dps,
WG,WG12,Horde,Mage,7,1,48,32630,7234,421,1,,dps,
WG,WG12,Horde,Mage,8,1,47,37857,8706,415,1,,dps,
WG,WG12,Horde,Shaman,1,2,46,3663,55865,563,1,,heal,
WG,WG12,Alliance,Rogue,1,6,8,11267,2047,139,,1,dps,
WG,WG12,Alliance,Paladin,0,3,12,16628,5412,148,,1,dps,
WG,WG12,Horde,Druid,2,1,42,27636,8714,405,1,,dps,
WG,WG12,Horde,Rogue,6,1,44,15198,1431,409,1,,dps,
WG,WG12,Alliance,Warlock,3,8,13,14011,12435,157,,1,dps,
WG,WG12,Alliance,Hunter,2,6,12,44476,7369,147,,1,dps,
WG,WG12,Horde,Warrior,6,3,39,16179,6773,561,1,,dps,
WG,WG12,Horde,Warlock,0,1,50,6225,5529,573,1,,dps,
WG,WG12,Alliance,Priest,1,4,12,15404,2489,151,,1,dps,
WG,WG12,Alliance,Druid,1,3,10,11126,7020,146,,1,dps,
WG,WG12,Alliance,Rogue,0,2,2,3434,308,25,,1,dps,
WG,WG13,Horde,Warlock,2,3,34,18854,8143,547,1,,dps,
WG,WG13,Alliance,Paladin,1,5,7,32645,15990,203,,1,dps,
WG,WG13,Alliance,Druid,0,1,11,2396,5822,217,,1,heal,
WG,WG13,Horde,Demon Hunter,7,1,29,41082,3627,540,1,,dps,
WG,WG13,Horde,Demon Hunter,4,1,36,50216,6136,551,1,,dps,
WG,WG13,Horde,Hunter,7,1,36,27115,2705,404,1,,dps,
WG,WG13,Alliance,Hunter,4,5,11,51078,8346,218,,1,dps,
WG,WG13,Horde,Shaman,0,0,36,7887,87513,554,1,,heal,
WG,WG13,Alliance,Mage,1,3,11,27926,5377,216,,1,dps,
WG,WG13,Alliance,Paladin,0,3,9,3609,10401,214,,1,heal,
WG,WG13,Horde,Hunter,3,3,34,52228,6371,397,1,,dps,
WG,WG13,Horde,Monk,1,0,22,15311,12046,522,1,,dps,
WG,WG13,Alliance,Warrior,0,7,10,55846,17201,213,,1,dps,
WG,WG13,Horde,Priest,7,0,36,38715,78382,401,1,,heal,
WG,WG13,Alliance,Druid,2,2,11,35735,15773,220,,1,dps,
WG,WG13,Horde,Warrior,1,3,23,17630,1657,524,1,,dps,
WG,WG13,Horde,Paladin,4,2,32,2004,16159,543,1,,heal,
WG,WG13,Alliance,Monk,1,2,7,11591,5171,197,,1,dps,
WG,WG13,Alliance,Demon Hunter,2,4,10,24451,1763,215,,1,dps,
WG,WG13,Alliance,Warrior,3,5,11,34120,9819,218,,1,dps,
WG,WG14,Alliance,Shaman,1,3,40,3053,44130,327,1,,heal,
WG,WG14,Horde,Demon Hunter,9,5,33,49080,2493,193,,1,dps,
WG,WG14,Horde,Warrior,7,5,26,33087,5365,178,,1,dps,
WG,WG14,Alliance,Rogue,6,2,47,16415,3386,342,1,,dps,
WG,WG14,Horde,Shaman,0,4,25,7472,48106,177,,1,heal,
WG,WG14,Alliance,Druid,0,4,45,778,34434,487,1,,heal,
WG,WG14,Alliance,Demon Hunter,4,3,45,32057,1696,487,1,,dps,
WG,WG14,Horde,Warrior,4,7,32,31141,1842,189,,1,dps,
WG,WG14,Alliance,Demon Hunter,3,4,38,37113,5305,473,1,,dps,
WG,WG14,Horde,Mage,2,4,21,29112,7219,168,,1,dps,
WG,WG14,Alliance,Monk,1,4,33,14806,54073,313,1,,heal,
WG,WG14,Alliance,Druid,6,5,44,24422,7954,486,1,,dps,
WG,WG14,Horde,Warrior,2,4,14,7757,6224,153,,1,dps,
WG,WG14,Alliance,Hunter,12,3,50,31056,6336,503,1,,dps,
WG,WG14,Alliance,Warlock,13,5,51,43470,16041,505,1,,dps,
WG,WG14,Horde,Warrior,1,7,25,18769,1247,173,,1,dps,
WG,WG14,Horde,Druid,6,7,28,35975,9485,182,,1,dps,
WG,WG14,Horde,Monk,2,5,29,38337,9363,182,,1,dps,
WG,WG14,Alliance,Death Knight,7,3,51,23094,5677,505,1,,dps,
WG,WG14,Horde,Warrior,3,7,23,20776,9371,171,,1,dps,
WG,WG15,Alliance,Demon Hunter,0,7,1,17372,3038,107,,1,dps,
WG,WG15,Horde,Rogue,3,1,32,9029,397,365,1,,dps,
WG,WG15,Horde,Druid,6,0,33,24448,4582,367,1,,dps,
WG,WG15,Horde,Hunter,9,0,35,19884,3425,371,1,,dps,
WG,WG15,Horde,Paladin,0,0,26,2599,1641,353,1,,dps,
WG,WG15,Horde,Shaman,0,0,27,1954,15099,505,1,,heal,
WG,WG15,Horde,Warrior,3,0,36,11996,1038,523,1,,dps,
WG,WG15,Alliance,Demon Hunter,1,2,1,10741,1466,107,,1,dps,
WG,WG15,Alliance,Priest,0,3,1,955,8527,107,,1,heal,
WG,WG15,Alliance,Rogue,0,3,1,9862,211,107,,1,dps,
WG,WG15,Horde,Warrior,6,0,36,18433,2831,373,1,,dps,
WG,WG15,Horde,Druid,0,0,35,911,26698,521,1,,heal,
WG,WG15,Alliance,Warrior,0,4,1,3043,2887,107,,1,dps,
WG,WG15,Alliance,Hunter,0,5,1,7294,3281,107,,1,dps,
WG,WG15,Horde,Paladin,4,0,36,14970,3268,373,1,,dps,
WG,WG15,Alliance,Druid,0,2,0,0,10195,95,,1,heal,
WG,WG15,Alliance,Warlock,0,4,0,16450,7277,105,,1,dps,
WG,WG15,Horde,Monk,6,0,34,23189,6444,369,1,,dps,
WG,WG15,Alliance,Rogue,0,5,1,6858,2459,107,,1,dps,
WG,WG16,Alliance,Priest,10,4,58,40092,14538,419,1,,dps,
WG,WG16,Alliance,Death Knight,12,6,53,31347,14346,410,1,,dps,
WG,WG16,Alliance,Druid,9,2,62,70441,494,430,1,,dps,
WG,WG16,Horde,Priest,2,4,22,17089,15538,228,,1,dps,
WG,WG16,Alliance,Mage,4,1,61,35490,3726,425,1,,dps,
WG,WG16,Horde,Demon Hunter,1,7,25,29034,1174,234,,1,dps,
WG,WG16,Horde,Warrior,5,4,25,19992,3683,233,,1,dps,
WG,WG16,Horde,Paladin,3,11,21,24742,11005,230,,1,dps,
WG,WG16,Horde,Shaman,0,10,25,4955,43833,234,,1,heal,
WG,WG16,Alliance,Hunter,2,5,57,31076,4839,416,1,,dps,
WG,WG16,Alliance,Warrior,2,2,54,18823,5387,561,1,,dps,
WG,WG16,Horde,Paladin,0,6,27,2618,57836,242,,1,heal,
WG,WG16,Alliance,Paladin,13,3,57,37267,11643,422,1,,dps,
WG,WG16,Alliance,Druid,3,3,56,17418,16583,416,1,,dps,
WG,WG16,Horde,Monk,2,5,25,31043,16953,238,,1,dps,
WG,WG16,Alliance,Priest,13,3,62,48575,19527,578,1,,dps,
WG,WG16,Horde,Paladin,8,9,23,42133,9465,230,,1,dps,
WG,WG16,Horde,Mage,2,4,24,25663,13130,233,,1,dps,
WG,WG16,Horde,Paladin,7,9,23,32757,12189,230,,1,dps,
WG,WG16,Alliance,Shaman,1,3,61,6332,54914,580,1,,heal,
WG,WG17,Alliance,Warlock,3,2,23,30895,7157,665,1,,dps,
WG,WG17,Horde,Mage,8,6,38,85175,23305,219,,1,dps,
WG,WG17,Horde,Warrior,9,6,40,46851,8477,225,,1,dps,
WG,WG17,Alliance,Hunter,2,5,46,38946,11987,782,1,,dps,
WG,WG17,Alliance,Priest,15,4,49,123000,35145,563,1,,dps,
WG,WG17,Alliance,Hunter,7,8,41,132000,25295,532,1,,dps,
WG,WG17,Horde,Shaman,0,6,40,10874,150000,225,,1,heal,
WG,WG17,Horde,Warlock,3,5,22,53580,38579,189,,1,dps,
WG,WG17,Alliance,Demon Hunter,4,4,37,41529,9268,747,1,,dps,
WG,WG17,Horde,Warlock,3,5,31,19953,17449,208,,1,dps,
WG,WG17,Horde,Death Knight,2,6,41,42427,26412,226,,1,dps,
WG,WG17,Alliance,Warlock,3,5,27,52437,35221,718,1,,dps,
WG,WG17,Horde,Hunter,8,5,47,47375,13113,239,,1,dps,
WG,WG17,Horde,Paladin,7,4,35,50943,27311,213,,1,dps,
WG,WG17,Alliance,Druid,0,6,47,1244,81587,779,1,,heal,
WG,WG17,Alliance,Druid,5,3,43,89434,8523,771,1,,dps,
WG,WG17,Alliance,Hunter,7,3,47,63903,12224,562,1,,dps,
WG,WG17,Horde,Warrior,5,8,39,59106,23215,222,,1,dps,
WG,WG17,Horde,Paladin,6,6,42,78565,42581,228,,1,dps,
WG,WG17,Alliance,Demon Hunter,11,11,48,109000,9050,562,1,,dps,
BG,BG1,Alliance,Monk,0,2,17,1404,111000,213,,1,heal,
BG,BG1,Horde,Shaman,2,4,17,23373,5920,358,1,,dps,
BG,BG1,Alliance,Paladin,3,4,17,72205,35392,211,,1,dps,
BG,BG1,Alliance,Demon Hunter,0,6,1,13751,1416,177,,1,dps,
BG,BG1,Horde,Warlock,3,1,25,46804,16934,520,1,,dps,
BG,BG1,Horde,Mage,4,1,16,39910,3120,364,1,,dps,
BG,BG1,Horde,Warrior,5,1,27,62571,17566,374,1,,dps,
BG,BG1,Alliance,Priest,1,3,19,7340,48071,216,,1,heal,
BG,BG1,Alliance,Hunter,3,3,19,46793,11099,218,,1,dps,
BG,BG1,Alliance,Shaman,0,3,24,14956,70297,232,,1,heal,
BG,BG1,Horde,Shaman,0,8,19,3896,70444,508,1,,heal,
BG,BG1,Horde,Warrior,4,0,30,38997,9283,384,1,,dps,
BG,BG1,Alliance,Mage,1,6,11,20832,8656,197,,1,dps,
BG,BG1,Horde,Warlock,4,2,27,79679,31249,374,1,,dps,
BG,BG1,Alliance,Monk,2,2,21,34753,11306,224,,1,dps,
BG,BG1,Alliance,Warrior,13,2,24,99446,16581,232,,1,dps,
BG,BG1,Horde,Priest,1,3,18,16276,79725,514,1,,heal,
BG,BG1,Horde,Hunter,6,2,24,57857,17782,368,1,,dps,
BG,BG1,Horde,Warrior,0,3,16,16256,3467,352,1,,dps,
BG,BG1,Alliance,Hunter,0,1,7,9475,1849,189,,1,dps,
BG,BG2,Alliance,Paladin,1,4,11,12144,4054,188,,1,dps,
BG,BG2,Alliance,Demon Hunter,0,7,9,12337,6720,183,,1,dps,
BG,BG2,Alliance,Demon Hunter,3,6,13,36969,3986,194,,1,dps,
BG,BG2,Alliance,Warrior,0,6,8,14450,3295,184,,1,dps,
BG,BG2,Horde,Shaman,1,2,45,5337,55768,547,1,,heal,
BG,BG2,Alliance,Druid,0,5,7,270,28254,183,,1,heal,
BG,BG2,Alliance,Demon Hunter,1,0,4,8489,309,173,,1,dps,
BG,BG2,Horde,Warlock,5,1,48,16152,8432,405,1,,dps,
BG,BG2,Horde,Warlock,4,2,52,31053,12454,411,1,,dps,
BG,BG2,Horde,Priest,0,2,46,1484,39236,399,1,,heal,
BG,BG2,Horde,Mage,3,1,49,31740,3400,405,1,,dps,
BG,BG2,Horde,Hunter,11,0,54,35220,887,415,1,,dps,
BG,BG2,Horde,Shaman,6,1,24,13117,1164,358,1,,dps,
BG,BG2,Alliance,Warrior,2,5,9,17113,1766,187,,1,dps,
BG,BG2,Alliance,Paladin,3,6,9,31140,8288,187,,1,dps,
